Unnamed: 0.1,Unnamed: 0,disease,doctors,time
56,56,Typhoid,"Dr. Anand Kumar - Fortis Memorial Research Institute, Gurugram",9:00 AM - 10:00 AM
57,57,Hepatitis A,"Dr. A. K. Gupta - Apollo Hospitals, Delhi",10:00 AM - 11:00 AM
58,58,Hepatitis A,"Dr. R. K. Jain - Max Super Speciality Hospital, Delhi",11:00 AM - 12:00 PM
59,59,Hepatitis A,"Dr. Sandeep Raman - Fortis Hospital, Mumbai",12:00 PM - 1:00 PM
60,60,Hepatitis B,"Dr. Prashant Borade - Global Hospitals, Mumbai",1:00 PM - 2:00 PM
61,61,Hepatitis B,"Dr. Vikas Bhatia - Apollo Hospitals, Chennai",2:00 PM - 3:00 PM
62,62,Hepatitis B,"Dr. Anil Kapoor - Fortis Hospital, Bengaluru",3:00 PM - 4:00 PM
63,63,Hepatitis C,"Dr. Manoj Kumar Sharma - BLK Super Speciality Hospital, Delhi",4:00 PM - 5:00 PM
64,64,Hepatitis C,"Dr. Rakesh Jain - Max Hospital, Delhi",9:00 AM - 10:00 AM
65,65,Hepatitis C,"Dr. Suresh Goyal - AIIMS, New Delhi",10:00 AM - 11:00 AM
66,66,Hepatitis D,"Dr. Rakesh Aggarwal - Medanta Hospital, Gurugram",11:00 AM - 12:00 PM
67,67,Hepatitis D,"Dr. Akhilesh Kumar - Apollo Hospitals, Hyderabad",12:00 PM - 1:00 PM
68,68,Hepatitis D,"Dr. Sunil Gupta - AIIMS, New Delhi",1:00 PM - 2:00 PM
69,69,Hepatitis E,"Dr. Ashish Goel - Artemis Hospital, Gurugram",2:00 PM - 3:00 PM
70,70,Hepatitis E,"Dr. Vikas Bansal - Fortis Hospital, Noida",3:00 PM - 4:00 PM
71,71,Hepatitis E,"Dr. Shiv Kumar - Indraprastha Apollo Hospital, Delhi",4:00 PM - 5:00 PM
72,72,Alcoholic hepatitis,"Dr. Deepak Amarapurkar - Bombay Hospital, Mumbai",9:00 AM - 10:00 AM
73,73,Alcoholic hepatitis,"Dr. Prakash Doshi - Apollo Hospitals, Chennai",10:00 AM - 11:00 AM
74,74,Alcoholic hepatitis,"Dr. Santosh Kumar - Medanta Hospital, Gurugram",11:00 AM - 12:00 PM
75,75,Tuberculosis,"Dr. Rohit Bhatia - Fortis Memorial Research Institute, Gurugram",12:00 PM - 1:00 PM
76,76,Tuberculosis,"Dr. Anil Sharma - Indraprastha Apollo Hospital, Delhi",1:00 PM - 2:00 PM
77,77,Tuberculosis,"Dr. Satish Gupta - AIIMS, New Delhi",2:00 PM - 3:00 PM
78,78,Common Cold,"Dr. Manoj Kumar Jain - Max Hospital, Delhi",3:00 PM - 4:00 PM
79,79,Common Cold,"Dr. Harsh Vardhan - Apollo Hospitals, Hyderabad",4:00 PM - 5:00 PM
80,80,Common Cold,"Dr. Ashok Shukla - Fortis Hospital, Noida",9:00 AM - 10:00 AM
81,81,Pneumonia,"Dr. Vikas Maurya - Jaypee Hospital, Noida",10:00 AM - 11:00 AM
82,82,Pneumonia,"Dr. Arun Kumar - Apollo Hospitals, Bengaluru",11:00 AM - 12:00 PM
83,83,Pneumonia,"Dr. Shyam Bihari - AIIMS, New Delhi",12:00 PM - 1:00 PM
84,84,Dimorphic hemorrhoids (piles),"Dr. Nitin Dange - Wockhardt Hospital, Mumbai",1:00 PM - 2:00 PM
85,85,Dimorphic hemorrhoids (piles),"Dr. Anil Sharma - Jaslok Hospital, Mumbai",2:00 PM - 3:00 PM
86,86,Dimorphic hemorrhoids (piles),"Dr. Suresh Goyal - AIIMS, New Delhi",3:00 PM - 4:00 PM
87,87,Heart attack,"Dr. Ashok Seth - Fortis Escorts Heart Institute, Delhi",4:00 PM - 5:00 PM
88,88,Heart attack,"Dr. Ravi R. Kasliwal - Medanta Hospital, Gurugram",9:00 AM - 10:00 AM
89,89,Heart attack,"Dr. Anand Bhardwaj - Max Super Speciality Hospital, Delhi",10:00 AM - 11:00 AM
90,90,Varicose veins,"Dr. Pradeep Muley - Bombay Hospital, Mumbai",11:00 AM - 12:00 PM
91,91,Varicose veins,"Dr. K. S. Dhillon - Apollo Hospitals, Hyderabad",12:00 PM - 1:00 PM
92,92,Varicose veins,"Dr. Sunil Kapoor - Fortis Hospital, Bengaluru",1:00 PM - 2:00 PM
93,93,Hypothyroidism,"Dr. M. M. Bindra - Sir Ganga Ram Hospital, Delhi",2:00 PM - 3:00 PM
94,94,Hypothyroidism,"Dr. Sandeep Gupta - Apollo Hospitals, Chennai",3:00 PM - 4:00 PM
95,95,Hypothyroidism,"Dr. Neeraj Garg - Fortis Hospital, Noida",4:00 PM - 5:00 PM
96,96,Hyperthyroidism,"Dr. Sameer Kaul - Apollo Hospitals, Chennai",9:00 AM - 10:00 AM
97,97,Hyperthyroidism,"Dr. Amit Patil - Manipal Hospital, Bengaluru",10:00 AM - 11:00 AM
98,98,Hyperthyroidism,"Dr. Rakesh Mishra - Medanta Hospital, Gurugram",11:00 AM - 12:00 PM
99,99,Hypoglycemia,"Dr. Ambrish Mithal - Medanta Hospital, Gurugram",12:00 PM - 1:00 PM
100,100,Hypoglycemia,"Dr. Ravi Kumar - Apollo Hospitals, Hyderabad",1:00 PM - 2:00 PM
101,101,Hypoglycemia,"Dr. Anuj Gupta - Max Super Speciality Hospital, Delhi",2:00 PM - 3:00 PM
102,102,Osteoarthritis,"Dr. Ashok Rajgopal - Medanta Hospital, Gurugram",3:00 PM - 4:00 PM
103,103,Osteoarthritis,"Dr. Kunal Patel - Apollo Hospitals, Ahmedabad",4:00 PM - 5:00 PM
104,104,Osteoarthritis,"Dr. Sanjeev Kumar - Fortis Hospital, Mumbai",9:00 AM - 10:00 AM
105,105,Arthritis,"Dr. Shashank Akerkar - Apollo Hospitals, Mumbai",10:00 AM - 11:00 AM
106,106,Arthritis,"Dr. Vikrant Mohan - Fortis Hospitals, Bengaluru",11:00 AM - 12:00 PM
107,107,Arthritis,"Dr. Sandeep Sharma - Max Super Speciality Hospital, Delhi",12:00 PM - 1:00 PM
108,108,(Vertigo) Paroxysmal Positional,"Dr. Alok Thakar - Indraprastha Apollo Hospital, Delhi",1:00 PM - 2:00 PM
109,109,(Vertigo) Paroxysmal Positional,"Dr. Praveen Dey - AIIMS, New Delhi",2:00 PM - 3:00 PM
110,110,(Vertigo) Paroxysmal Positional,"Dr. Ravi S. Prakash - Fortis Hospital, Noida",3:00 PM - 4:00 PM
111,111,Vertigo,"Dr. Santosh Shrivastava - Max Hospital, Delhi",4:00 PM - 5:00 PM
112,112,Vertigo,"Dr. Kalyan Banerjee - Apollo Hospitals, Kolkata",9:00 AM - 10:00 AM
113,113,Vertigo,"Dr. Rajesh Kumar - Medanta Hospital, Gurugram",10:00 AM - 11:00 AM
114,114,Acne,"Dr. Jaideep Dhama - Kaya Skin Clinic, Mumbai",11:00 AM - 12:00 PM
115,115,Acne,"Dr. Shilpa Reddy - Apollo Hospitals, Hyderabad",12:00 PM - 1:00 PM
116,116,Acne,"Dr. Alok Pathak - Fortis Hospital, Bengaluru",1:00 PM - 2:00 PM
117,117,Urinary tract infection,"Dr. Sanjay Pandey - Apollo Hospitals, Hyderabad",2:00 PM - 3:00 PM
118,118,Urinary tract infection,"Dr. Anil Kapoor - Fortis Hospital, Bengaluru",3:00 PM - 4:00 PM
119,119,Urinary tract infection,"Dr. Manoj Tiwari - Max Super Speciality Hospital, Delhi",4:00 PM - 5:00 PM
120,120,Psoriasis,"Dr. Manish Shah - Jaslok Hospital, Mumbai",9:00 AM - 10:00 AM
121,121,Psoriasis,"Dr. S. K. Dutta - Apollo Hospitals, Chennai",10:00 AM - 11:00 AM
122,122,Psoriasis,"Dr. Rajiv Gupta - Fortis Hospital, Noida",11:00 AM - 12:00 PM
123,123,Impetigo,"Dr. Harshna Bijlani - Kokilaben Dhirubhai Ambani Hospital, Mumbai",12:00 PM - 1:00 PM
124,124,Impetigo,"Dr. Rohit Batra - Sir Ganga Ram Hospital, Delhi",1:00 PM - 2:00 PM
125,125,Impetigo,"Dr. Sachin Dhawan - Medanta Hospital, Gurugram",2:00 PM - 3:00 PM
